InvoiceNo,InvoiceDate,DealerName,PaymentDate
102010,10-01-2020,1151,28-02-2020
102011,04-01-2020,1550,30-01-2020
102012,11-01-2020,1130,10-03-2020
102013,13-01-2020,1438,03-02-2020
102014,09-01-2020,1307,02-02-2020
102015,12-01-2020,1273,10-03-2020
102016,29-01-2020,1570,25-03-2020
102017,24-01-2020,1054,15-03-2020
102018,26-01-2020,1264,05-03-2020
102019,27-01-2020,1168,10-03-2020
102020,14-01-2020,1638,08-03-2020
102021,26-01-2020,1059,12-02-2020
102022,01-01-2020,1430,01-03-2020
102023,13-01-2020,1515,22-02-2020
102024,11-01-2020,1114,11-02-2020
102025,24-01-2020,1400,11-03-2020
102026,06-01-2020,1223,13-01-2020
102027,16-01-2020,1453,07-03-2020
102028,18-01-2020,1456,24-02-2020
102029,01-01-2020,1211,22-02-2020
102030,30-01-2020,1158,18-03-2020
102031,08-01-2020,1610,26-02-2020
102032,27-01-2020,1108,03-02-2020
102033,10-01-2020,1016,07-03-2020
102034,14-01-2020,1575,14-02-2020
102035,25-01-2020,1240,15-03-2020
102036,01-01-2020,1264,01-02-2020
102037,30-01-2020,1423,13-02-2020
102038,07-01-2020,1003,19-01-2020
102039,30-01-2020,1175,13-03-2020
102040,15-01-2020,1045,23-02-2020
102041,06-01-2020,1011,29-01-2020
102042,18-01-2020,1444,13-02-2020
102043,08-01-2020,1364,22-01-2020
102044,29-01-2020,1246,24-02-2020
102045,26-01-2020,1298,10-03-2020
102046,15-01-2020,1118,04-03-2020
102047,27-01-2020,1191,11-02-2020
102048,28-01-2020,1649,08-03-2020
102049,04-01-2020,1043,07-02-2020
102050,06-01-2020,1184,24-01-2020
102051,24-01-2020,1282,22-02-2020
102052,01-01-2020,1181,17-02-2020
102053,18-01-2020,1154,03-02-2020
102054,29-01-2020,1624,07-02-2020
102055,17-01-2020,1461,27-01-2020
102056,22-01-2020,1114,29-01-2020
102057,21-01-2020,1125,11-02-2020
102058,21-01-2020,1100,02-02-2020
102059,26-01-2020,1499,09-02-2020
102060,28-01-2020,1608,27-02-2020
102061,11-01-2020,1101,28-02-2020
102062,06-01-2020,1391,16-01-2020
102063,24-01-2020,1306,05-02-2020
102064,25-01-2020,1457,11-02-2020
102065,01-01-2020,1242,10-01-2020
102066,18-01-2020,1133,21-02-2020
102067,11-01-2020,1568,15-02-2020
102068,25-01-2020,1352,25-03-2020
102069,22-01-2020,1020,03-03-2020
102070,31-01-2020,1647,29-02-2020
102071,17-01-2020,1235,11-02-2020
102072,06-01-2020,1052,14-01-2020
102073,28-01-2020,1550,23-02-2020
102074,05-01-2020,1569,16-01-2020
102075,18-01-2020,1393,11-03-2020
102076,15-01-2020,1024,30-01-2020
102077,29-01-2020,1073,06-03-2020
102078,09-01-2020,1254,19-01-2020
102079,12-01-2020,1213,14-02-2020
102080,21-01-2020,1179,14-03-2020
102081,28-01-2020,1287,27-03-2020
102082,05-01-2020,1573,09-02-2020
102083,21-01-2020,1480,08-02-2020
102084,25-01-2020,1371,13-03-2020
102085,03-01-2020,1615,23-02-2020
102086,26-01-2020,1395,18-02-2020
102087,04-01-2020,1549,26-01-2020
102088,14-01-2020,1554,11-03-2020
102089,30-01-2020,1589,08-03-2020
102090,31-01-2020,1344,10-03-2020
102091,03-01-2020,1622,18-01-2020
102092,22-01-2020,1400,10-03-2020
102093,16-01-2020,1502,11-02-2020
102094,03-01-2020,1151,12-01-2020
102095,25-01-2020,1150,06-02-2020
102096,15-01-2020,1618,23-01-2020
102097,09-01-2020,1635,27-01-2020
102098,10-01-2020,1158,20-02-2020
102099,01-01-2020,1254,16-02-2020
102100,13-01-2020,1004,22-01-2020
102101,19-01-2020,1151,19-02-2020
102102,06-01-2020,1446,02-02-2020
102103,08-01-2020,1387,22-01-2020
102104,05-01-2020,1493,12-02-2020
102105,24-01-2020,1570,07-02-2020
102106,25-01-2020,1535,12-02-2020
102107,04-01-2020,1615,23-02-2020
102108,23-01-2020,1020,08-02-2020
102109,14-01-2020,1551,06-03-2020
102110,21-01-2020,1629,04-03-2020
102111,19-01-2020,1298,26-02-2020
102112,24-01-2020,1348,12-03-2020
102113,28-01-2020,1302,11-03-2020
102114,29-01-2020,1473,29-02-2020
102115,31-01-2020,1306,17-02-2020
102116,05-01-2020,1298,23-02-2020
102117,10-01-2020,1326,06-03-2020
102118,30-01-2020,1155,11-03-2020
102119,03-01-2020,1080,24-02-2020
102120,26-01-2020,1299,26-02-2020
102121,01-01-2020,1560,09-02-2020
102122,08-01-2020,1077,19-02-2020
102123,17-01-2020,1205,17-03-2020
102124,15-01-2020,1361,18-02-2020
102125,18-01-2020,1552,13-02-2020
102126,02-01-2020,1512,02-02-2020
102127,27-01-2020,1526,14-03-2020
102128,11-01-2020,1583,27-01-2020
102129,18-01-2020,1205,17-03-2020
102130,02-01-2020,1055,08-02-2020
102131,18-01-2020,1382,27-01-2020
102132,14-01-2020,1257,12-03-2020
102133,11-01-2020,1170,12-02-2020
102134,20-01-2020,1144,18-03-2020
102135,03-01-2020,1017,15-02-2020
102136,19-01-2020,1158,08-02-2020
102137,15-01-2020,1285,27-02-2020
102138,12-01-2020,1627,28-01-2020
102139,04-01-2020,1629,22-01-2020
102140,03-01-2020,1505,29-01-2020
102141,22-01-2020,1211,22-03-2020
102142,16-01-2020,1333,02-02-2020
102143,05-01-2020,1589,04-02-2020
102144,27-01-2020,1272,20-02-2020
102145,13-01-2020,1314,02-02-2020
102146,28-01-2020,1379,11-02-2020
102147,18-01-2020,1419,01-02-2020
102148,28-01-2020,1026,08-02-2020
102149,26-01-2020,1066,09-03-2020
102150,13-01-2020,1348,23-02-2020
102151,26-01-2020,1077,04-02-2020
102152,11-01-2020,1335,25-01-2020
102153,29-01-2020,1005,06-03-2020
102154,31-01-2020,1454,27-03-2020
102155,09-01-2020,1065,06-03-2020
102156,06-01-2020,1004,20-02-2020
102157,13-01-2020,1282,23-01-2020
102158,02-01-2020,1068,13-01-2020
102159,30-01-2020,1359,29-02-2020
102160,11-01-2020,1224,17-02-2020
102161,18-01-2020,1096,25-01-2020
102162,19-01-2020,1318,18-02-2020
102163,20-01-2020,1166,19-02-2020
102164,15-01-2020,1447,14-02-2020
102165,11-01-2020,1645,16-02-2020
102166,10-01-2020,1493,02-03-2020
102167,31-01-2020,1022,06-03-2020
102168,20-01-2020,1631,05-03-2020
102169,18-01-2020,1574,04-02-2020
102170,02-01-2020,1521,16-01-2020
102171,08-01-2020,1645,25-01-2020
102172,20-01-2020,1359,14-03-2020
102173,30-01-2020,1569,13-03-2020
102174,19-01-2020,1177,28-01-2020
102175,24-01-2020,1502,22-02-2020
102176,06-01-2020,1629,01-03-2020
102177,22-01-2020,1195,31-01-2020
102178,16-01-2020,1084,11-03-2020
102179,19-01-2020,1642,04-02-2020
102180,09-01-2020,1527,25-01-2020
102181,09-01-2020,1221,16-01-2020
102182,10-01-2020,1373,16-02-2020
102183,05-01-2020,1215,15-02-2020
102184,17-01-2020,1177,11-02-2020
102185,22-01-2020,1287,19-03-2020
102186,17-01-2020,1488,06-02-2020
102187,06-01-2020,1241,31-01-2020
102188,27-01-2020,1460,03-03-2020
102189,23-01-2020,1159,14-03-2020
102190,17-01-2020,1088,02-02-2020
102191,17-01-2020,1518,08-02-2020
102192,27-01-2020,1281,26-03-2020
102193,07-01-2020,1573,27-02-2020
102194,26-01-2020,1156,13-03-2020
102195,30-01-2020,1080,19-03-2020
102196,22-01-2020,1105,10-03-2020
102197,08-01-2020,1198,24-02-2020
102198,16-01-2020,1632,16-03-2020
102199,15-01-2020,1471,04-03-2020
102200,10-01-2020,1293,15-02-2020
102201,24-01-2020,1306,07-02-2020
102202,16-01-2020,1231,26-02-2020
102203,02-01-2020,1608,12-02-2020
102204,01-01-2020,1029,24-01-2020
102205,15-01-2020,1053,21-02-2020
102206,10-01-2020,1385,30-01-2020
102207,07-01-2020,1193,18-02-2020
102208,13-01-2020,1269,09-03-2020
102209,24-01-2020,1223,29-02-2020
102210,08-01-2020,1224,09-02-2020
102211,12-01-2020,1555,22-02-2020
102212,25-01-2020,1542,20-02-2020
102213,09-01-2020,1089,16-02-2020
102214,29-01-2020,1178,01-03-2020
102215,29-01-2020,1297,06-03-2020
102216,30-01-2020,1588,24-03-2020
102217,11-01-2020,1447,23-02-2020
102218,14-01-2020,1534,22-01-2020
102219,05-01-2020,1569,03-03-2020
102220,27-01-2020,1558,25-03-2020
102221,06-01-2020,1426,20-02-2020
102222,05-01-2020,1350,22-01-2020
102223,01-01-2020,1140,31-01-2020
102224,04-01-2020,1106,11-01-2020
102225,11-01-2020,1173,09-02-2020
102226,07-01-2020,1349,22-02-2020
102227,01-01-2020,1523,21-02-2020
102228,29-01-2020,1522,03-03-2020
102229,16-01-2020,1374,26-01-2020
102230,16-01-2020,1160,27-02-2020
102231,13-01-2020,1510,10-03-2020
102232,30-01-2020,1094,25-03-2020
102233,04-01-2020,1234,04-02-2020
102234,10-01-2020,1466,30-01-2020
102235,20-01-2020,1627,09-02-2020
102236,23-01-2020,1052,30-01-2020
102237,08-01-2020,1614,16-01-2020
102238,31-01-2020,1157,14-03-2020
102239,16-01-2020,1463,01-03-2020
102240,26-01-2020,1172,09-02-2020
102241,27-01-2020,1349,08-03-2020
102242,29-01-2020,1110,12-03-2020
102243,27-01-2020,1582,08-03-2020
102244,02-01-2020,1327,09-01-2020
102245,13-01-2020,1042,26-02-2020
102246,18-01-2020,1583,27-01-2020
102247,17-01-2020,1011,01-02-2020
102248,23-01-2020,1290,18-03-2020
102249,20-01-2020,1330,28-02-2020
102250,15-01-2020,1525,02-03-2020
102251,07-01-2020,1594,24-01-2020
102252,19-01-2020,1055,02-02-2020
102253,02-01-2020,1302,08-02-2020
102254,30-01-2020,1435,09-02-2020
102255,15-01-2020,1583,29-01-2020
102256,11-01-2020,1087,21-02-2020
102257,18-01-2020,1369,28-02-2020
102258,30-01-2020,1641,05-03-2020
102259,13-01-2020,1133,05-03-2020
102260,09-01-2020,1455,26-02-2020
102261,23-01-2020,1071,05-03-2020
102262,06-01-2020,1147,01-02-2020
102263,28-01-2020,1356,21-03-2020
102264,15-01-2020,1025,15-03-2020
102265,22-01-2020,1152,10-02-2020
102266,30-01-2020,1004,03-03-2020
102267,27-01-2020,1480,25-03-2020
102268,05-01-2020,1487,18-02-2020
102269,29-01-2020,1001,11-03-2020
102270,10-01-2020,1196,11-02-2020
102271,05-01-2020,1615,05-02-2020
102272,08-01-2020,1176,10-02-2020
102273,12-01-2020,1570,01-03-2020
102274,24-01-2020,1156,13-03-2020
102275,08-01-2020,1208,08-02-2020
102276,18-01-2020,1169,25-02-2020
102277,01-01-2020,1170,20-02-2020
102278,28-01-2020,1030,22-02-2020
102279,28-01-2020,1182,09-02-2020
102280,06-01-2020,1183,24-02-2020
102281,04-01-2020,1249,12-01-2020
102282,21-01-2020,1538,15-03-2020
102283,20-01-2020,1515,27-02-2020
102284,22-01-2020,1434,14-03-2020
102285,16-01-2020,1303,03-02-2020
102286,29-01-2020,1512,03-03-2020
102287,13-01-2020,1216,10-02-2020
102288,14-01-2020,1183,13-02-2020
102289,11-01-2020,1494,29-01-2020
102290,23-01-2020,1536,09-03-2020
102291,11-01-2020,1227,09-03-2020
102292,23-01-2020,1459,31-01-2020
102293,08-01-2020,1521,07-02-2020
102294,04-01-2020,1418,17-01-2020
102295,14-01-2020,1436,08-03-2020
102296,04-01-2020,1221,08-02-2020
102297,21-01-2020,1485,20-03-2020
102298,12-01-2020,1096,09-03-2020
102299,16-01-2020,1581,11-02-2020
102300,26-01-2020,1491,25-03-2020
102301,13-01-2020,1366,09-03-2020
102302,18-01-2020,1411,06-02-2020
102303,19-01-2020,1001,12-02-2020
102304,14-01-2020,1075,25-02-2020
102305,12-01-2020,1590,20-02-2020
102306,29-01-2020,1210,05-02-2020
102307,01-01-2020,1160,17-02-2020
102308,21-01-2020,1147,25-02-2020
102309,22-01-2020,1230,19-03-2020
102310,22-01-2020,1037,24-02-2020
102311,29-01-2020,1327,17-03-2020
102312,20-01-2020,1263,06-03-2020
102313,24-01-2020,1398,20-02-2020
102314,17-01-2020,1476,21-02-2020
102315,05-01-2020,1612,07-02-2020
102316,27-01-2020,1226,04-03-2020
102317,03-01-2020,1402,02-03-2020
102318,20-01-2020,1157,22-02-2020
102319,30-01-2020,1649,20-02-2020
102320,19-01-2020,1633,16-02-2020
102321,12-01-2020,1478,03-02-2020
102322,11-01-2020,1590,28-01-2020
102323,21-01-2020,1448,10-03-2020
102324,22-01-2020,1560,06-03-2020
102325,27-01-2020,1046,06-02-2020
102326,24-01-2020,1119,21-03-2020
102327,28-01-2020,1273,13-03-2020
102328,20-01-2020,1375,29-01-2020
102329,09-01-2020,1233,09-03-2020
102330,23-01-2020,1373,30-01-2020
102331,31-01-2020,1648,22-03-2020
102332,24-01-2020,1090,18-03-2020
102333,02-01-2020,1078,16-02-2020
102334,09-01-2020,1157,02-03-2020
102335,02-01-2020,1009,06-02-2020
102336,10-01-2020,1137,30-01-2020
102337,27-01-2020,1539,16-03-2020
102338,16-01-2020,1494,25-01-2020
102339,01-01-2020,1226,27-02-2020
102340,07-01-2020,1578,05-02-2020
102341,20-01-2020,1362,18-02-2020
102342,19-01-2020,1022,05-03-2020
102343,18-01-2020,1055,14-03-2020
102344,04-01-2020,1159,30-01-2020
102345,21-01-2020,1057,18-03-2020
102346,06-01-2020,1180,01-02-2020
102347,22-01-2020,1540,31-01-2020
102348,27-01-2020,1011,22-03-2020
102349,21-01-2020,1257,13-03-2020
102350,23-01-2020,1029,13-03-2020
102351,01-01-2020,1395,17-01-2020
102352,14-01-2020,1413,01-03-2020
102353,01-01-2020,1570,25-02-2020
102354,20-01-2020,1579,04-02-2020
102355,01-01-2020,1250,15-01-2020
102356,02-01-2020,1460,05-02-2020
102357,22-01-2020,1440,07-02-2020
102358,05-01-2020,1399,13-02-2020
102359,09-01-2020,1368,28-02-2020
102360,08-01-2020,1264,13-02-2020
102361,18-01-2020,1069,12-02-2020
102362,11-01-2020,1124,28-01-2020
102363,10-01-2020,1497,22-02-2020
102364,15-01-2020,1439,29-02-2020
102365,21-01-2020,1458,01-02-2020
102366,03-01-2020,1159,12-01-2020
102367,23-01-2020,1248,19-03-2020
102368,06-01-2020,1536,15-02-2020
102369,09-01-2020,1527,25-01-2020
102370,09-01-2020,1205,24-02-2020
102371,05-01-2020,1259,29-01-2020
102372,03-01-2020,1268,26-02-2020
102373,22-01-2020,1476,24-02-2020
102374,14-01-2020,1390,21-01-2020
102375,04-01-2020,1022,02-02-2020
102376,11-01-2020,1382,21-01-2020
102377,05-01-2020,1077,16-01-2020
102378,04-01-2020,1500,13-02-2020
102379,17-01-2020,1481,30-01-2020
102380,10-01-2020,1292,01-02-2020
102381,17-01-2020,1483,26-02-2020
102382,14-01-2020,1634,12-03-2020
102383,06-01-2020,1063,31-01-2020
102384,22-01-2020,1126,22-02-2020
102385,04-01-2020,1476,17-01-2020
102386,25-01-2020,1384,23-03-2020
102387,20-01-2020,1298,21-02-2020
102388,12-01-2020,1475,09-02-2020
102389,12-01-2020,1538,09-02-2020
102390,21-01-2020,1362,07-02-2020
102391,27-01-2020,1416,12-02-2020
102392,27-01-2020,1510,13-02-2020
102393,22-01-2020,1405,03-02-2020
102394,07-01-2020,1501,04-03-2020
102395,05-01-2020,1091,10-02-2020
102396,19-01-2020,1205,12-03-2020
102397,29-01-2020,1324,28-03-2020
102398,28-01-2020,1557,17-03-2020
102399,28-01-2020,1182,08-02-2020
102400,24-01-2020,1524,03-02-2020
102401,13-01-2020,1300,01-02-2020
102402,23-01-2020,1432,04-02-2020
102403,15-01-2020,1573,18-02-2020
102404,31-01-2020,1578,26-02-2020
102405,20-01-2020,1508,21-02-2020
102406,22-01-2020,1056,04-02-2020
102407,26-01-2020,1607,24-02-2020
102408,19-01-2020,1300,04-02-2020
102409,19-01-2020,1373,07-03-2020
102410,26-01-2020,1548,17-03-2020
102411,16-01-2020,1609,29-01-2020
102412,12-01-2020,1449,11-02-2020
102413,29-01-2020,1456,29-02-2020
102414,20-01-2020,1402,04-02-2020
102415,19-01-2020,1604,11-02-2020
102416,14-01-2020,1171,12-03-2020
102417,15-01-2020,1160,09-03-2020
102418,21-01-2020,1415,06-02-2020
102419,02-01-2020,1349,19-02-2020
102420,30-01-2020,1587,17-02-2020
102421,26-01-2020,1323,15-02-2020
102422,10-01-2020,1059,04-02-2020
102423,10-01-2020,1218,25-02-2020
102424,24-01-2020,1399,13-03-2020
102425,09-01-2020,1553,27-01-2020
102426,28-01-2020,1107,23-02-2020
102427,27-01-2020,1266,12-02-2020
102428,06-01-2020,1633,01-02-2020
102429,19-01-2020,1025,27-02-2020
102430,04-01-2020,1488,21-01-2020
102431,03-01-2020,1518,25-02-2020
102432,14-01-2020,1563,27-02-2020
102433,04-01-2020,1183,31-01-2020
102434,08-01-2020,1279,26-02-2020
102435,21-01-2020,1238,09-03-2020
102436,28-01-2020,1427,01-03-2020
102437,22-01-2020,1412,05-03-2020
102438,26-01-2020,1372,11-02-2020
102439,25-01-2020,1298,07-02-2020
102440,26-01-2020,1556,09-02-2020
102441,10-01-2020,1366,24-01-2020
102442,24-01-2020,1638,04-03-2020
102443,30-01-2020,1120,20-03-2020
102444,07-01-2020,1057,03-02-2020
102445,08-01-2020,1351,05-03-2020
102446,24-01-2020,1241,10-02-2020
102447,08-01-2020,1383,04-02-2020
102448,05-01-2020,1002,01-02-2020
102449,01-01-2020,1460,25-01-2020
102450,18-01-2020,1277,08-02-2020
102451,19-01-2020,1581,24-02-2020
102452,06-01-2020,1079,22-02-2020
102453,30-01-2020,1590,06-02-2020
102454,19-01-2020,1198,20-02-2020
102455,24-01-2020,1154,13-03-2020
102456,04-01-2020,1617,12-02-2020
102457,24-01-2020,1274,10-02-2020
102458,18-01-2020,1009,29-01-2020
102459,03-01-2020,1213,25-02-2020
102460,31-01-2020,1432,06-03-2020
102461,02-01-2020,1566,19-01-2020
102462,22-01-2020,1140,11-03-2020
102463,02-01-2020,1139,21-01-2020
102464,24-01-2020,1495,06-03-2020
102465,09-01-2020,1432,16-01-2020
102466,23-01-2020,1477,25-02-2020
102467,01-01-2020,1035,25-02-2020
102468,06-01-2020,1600,22-01-2020
102469,08-01-2020,1467,24-01-2020
102470,09-01-2020,1110,25-01-2020
102471,20-01-2020,1253,12-03-2020
102472,16-01-2020,1158,31-01-2020
102473,19-01-2020,1300,04-02-2020
102474,01-01-2020,1154,08-01-2020
102475,10-01-2020,1486,20-01-2020
102476,13-01-2020,1163,13-03-2020
102477,29-01-2020,1024,25-03-2020
102478,06-01-2020,1110,05-02-2020
102479,21-01-2020,1643,24-02-2020
102480,08-01-2020,1241,07-03-2020
102481,20-01-2020,1078,16-02-2020
102482,20-01-2020,1039,05-03-2020
102483,09-01-2020,1646,09-02-2020
102484,12-01-2020,1629,13-02-2020
102485,24-01-2020,1349,05-03-2020
102486,29-01-2020,1147,11-02-2020
102487,30-01-2020,1211,08-03-2020
102488,30-01-2020,1377,18-02-2020
102489,27-01-2020,1505,11-03-2020
102490,31-01-2020,1008,10-02-2020
102491,12-01-2020,1367,11-02-2020
102492,01-01-2020,1156,04-02-2020
102493,25-01-2020,1178,11-02-2020
102494,30-01-2020,1357,18-02-2020
102495,22-01-2020,1272,30-01-2020
102496,18-01-2020,1268,05-02-2020
102497,14-01-2020,1404,20-02-2020
102498,12-01-2020,1147,02-03-2020
102499,31-01-2020,1599,14-02-2020
102500,29-01-2020,1244,22-03-2020
102501,02-01-2020,1027,25-02-2020
102502,10-01-2020,1112,18-01-2020
102503,20-01-2020,1376,16-03-2020
102504,03-01-2020,1515,08-02-2020
102505,09-01-2020,1372,17-02-2020
102506,29-01-2020,1416,29-02-2020
102507,02-01-2020,1363,09-01-2020
102508,19-01-2020,1398,23-02-2020
102509,04-01-2020,1259,23-01-2020
102510,13-01-2020,1245,26-02-2020
102511,05-01-2020,1338,19-01-2020
102512,29-01-2020,1475,13-02-2020
102513,15-01-2020,1560,08-02-2020
102514,24-01-2020,1487,17-02-2020
102515,12-01-2020,1509,12-03-2020
102516,22-01-2020,1256,18-02-2020
102517,12-01-2020,1497,07-03-2020
102518,07-01-2020,1508,09-02-2020
102519,27-01-2020,1504,14-03-2020
102520,09-01-2020,1040,21-01-2020
102521,29-01-2020,1485,22-02-2020
102522,05-01-2020,1302,17-02-2020
102523,05-01-2020,1052,04-03-2020
102524,24-01-2020,1201,25-02-2020
102525,18-01-2020,1049,08-03-2020
102526,27-01-2020,1487,23-03-2020
102527,01-01-2020,1211,17-01-2020
102528,28-01-2020,1557,13-02-2020
102529,23-01-2020,1004,16-03-2020
102530,30-01-2020,1156,08-03-2020
102531,03-01-2020,1521,14-02-2020
102532,23-01-2020,1342,23-02-2020
102533,17-01-2020,1633,14-03-2020
102534,24-01-2020,1243,24-02-2020
102535,31-01-2020,1274,26-03-2020
102536,08-01-2020,1164,04-02-2020
102537,12-01-2020,1407,04-02-2020
102538,06-01-2020,1476,28-01-2020
102539,31-01-2020,1416,15-02-2020
102540,26-01-2020,1466,03-03-2020
102541,09-01-2020,1398,20-02-2020
102542,05-01-2020,1614,13-01-2020
102543,01-01-2020,1287,12-02-2020
102544,12-01-2020,1338,23-02-2020
102545,03-01-2020,1489,26-02-2020
102546,22-01-2020,1357,08-03-2020
102547,31-01-2020,1495,11-03-2020
102548,30-01-2020,1440,14-03-2020
102549,12-01-2020,1531,08-03-2020
102550,11-01-2020,1499,22-01-2020
102551,26-01-2020,1168,04-02-2020
102552,21-01-2020,1362,20-02-2020
102553,20-01-2020,1260,29-01-2020
102554,14-01-2020,1296,05-03-2020
102555,17-01-2020,1180,20-02-2020
102556,24-01-2020,1413,04-03-2020
102557,16-01-2020,1271,02-03-2020
102558,15-01-2020,1060,16-02-2020
102559,05-01-2020,1265,04-02-2020
102560,25-01-2020,1004,02-03-2020
102561,18-01-2020,1081,05-03-2020
102562,21-01-2020,1133,12-03-2020
102563,31-01-2020,1230,07-02-2020
102564,30-01-2020,1434,08-02-2020
102565,30-01-2020,1468,23-02-2020
102566,05-01-2020,1110,14-02-2020
102567,13-01-2020,1198,06-02-2020
102568,23-01-2020,1600,26-02-2020
102569,03-01-2020,1358,25-02-2020
102570,17-01-2020,1118,24-02-2020
102571,16-01-2020,1374,02-03-2020
102572,14-01-2020,1569,15-02-2020
102573,25-01-2020,1367,19-02-2020
102574,27-01-2020,1222,07-02-2020
102575,13-01-2020,1441,10-03-2020
102576,10-01-2020,1545,24-02-2020
102577,11-01-2020,1069,21-02-2020
102578,02-01-2020,1343,11-02-2020
102579,15-01-2020,1094,08-03-2020
102580,16-01-2020,1320,23-01-2020
102581,18-01-2020,1385,26-02-2020
102582,26-01-2020,1501,16-03-2020
102583,09-01-2020,1418,28-01-2020
102584,23-01-2020,1536,07-02-2020
102585,07-01-2020,1465,21-01-2020
102586,23-01-2020,1423,17-03-2020
102587,05-01-2020,1481,19-01-2020
102588,11-01-2020,1423,23-01-2020
102589,05-01-2020,1108,28-01-2020
102590,05-01-2020,1053,18-01-2020
102591,26-01-2020,1237,09-02-2020
102592,02-01-2020,1241,23-02-2020
102593,19-01-2020,1277,12-03-2020
102594,27-01-2020,1458,01-03-2020
102595,22-01-2020,1241,09-02-2020
102596,30-01-2020,1111,22-02-2020
102597,02-01-2020,1387,16-01-2020
102598,28-01-2020,1128,05-02-2020
102599,16-01-2020,1065,09-02-2020
102600,01-01-2020,1445,12-02-2020
102601,04-01-2020,1338,19-02-2020
102602,20-01-2020,1001,01-02-2020
102603,29-01-2020,1404,18-02-2020
102604,14-01-2020,1065,15-02-2020
102605,06-01-2020,1291,30-01-2020
102606,20-01-2020,1435,28-02-2020
102607,13-01-2020,1133,17-02-2020
102608,20-01-2020,1464,29-02-2020
102609,14-01-2020,1191,05-03-2020
102610,17-01-2020,1341,05-02-2020
102611,01-01-2020,1001,22-02-2020
102612,04-01-2020,1634,19-02-2020
102613,27-01-2020,1424,27-03-2020
102614,21-01-2020,1294,02-02-2020
102615,18-01-2020,1448,13-02-2020
102616,04-01-2020,1184,14-01-2020
102617,05-01-2020,1025,14-01-2020
102618,18-01-2020,1201,31-01-2020
102619,18-01-2020,1565,27-01-2020
102620,09-01-2020,1607,20-02-2020
102621,31-01-2020,1371,02-03-2020
102622,08-01-2020,1312,08-03-2020
102623,25-01-2020,1166,03-02-2020
102624,06-01-2020,1389,19-01-2020
102625,04-01-2020,1038,12-02-2020
102626,12-01-2020,1533,16-02-2020
102627,06-01-2020,1011,20-02-2020
102628,06-01-2020,1277,08-02-2020
102629,14-01-2020,1557,14-02-2020
102630,06-01-2020,1300,17-02-2020
102631,17-01-2020,1568,10-03-2020
102632,15-01-2020,1617,04-02-2020
102633,17-01-2020,1163,15-03-2020
102634,23-01-2020,1449,10-02-2020
102635,18-01-2020,1377,18-03-2020
102636,28-01-2020,1588,03-03-2020
102637,30-01-2020,1533,15-03-2020
102638,29-01-2020,1595,26-02-2020
102639,14-01-2020,1159,01-03-2020
102640,23-01-2020,1036,31-01-2020
102641,12-01-2020,1222,27-02-2020
102642,08-01-2020,1025,31-01-2020
102643,24-01-2020,1617,13-03-2020
102644,12-01-2020,1271,27-02-2020
102645,05-01-2020,1200,05-03-2020
102646,19-01-2020,1104,01-02-2020
102647,26-01-2020,1565,23-02-2020
102648,22-01-2020,1302,17-03-2020
102649,13-01-2020,1559,01-03-2020
102650,06-01-2020,1278,01-02-2020
102651,20-01-2020,1382,15-03-2020
102652,26-01-2020,1283,04-03-2020
102653,31-01-2020,1634,08-02-2020
102654,12-01-2020,1233,02-02-2020
102655,11-01-2020,1131,13-02-2020
102656,23-01-2020,1457,09-03-2020
102657,15-01-2020,1476,13-03-2020
102658,14-01-2020,1191,07-03-2020
102659,06-01-2020,1109,21-01-2020
102660,06-01-2020,1166,18-02-2020
102661,08-01-2020,1484,01-02-2020
102662,07-01-2020,1139,16-02-2020
102663,17-01-2020,1239,12-03-2020
102664,22-01-2020,1226,09-03-2020
102665,03-01-2020,1455,27-02-2020
102666,20-01-2020,1645,25-02-2020
102667,29-01-2020,1072,08-02-2020
102668,08-01-2020,1182,25-02-2020
102669,17-01-2020,1113,13-02-2020
102670,16-01-2020,1167,27-02-2020
102671,06-01-2020,1082,01-03-2020
102672,18-01-2020,1378,17-02-2020
102673,23-01-2020,1044,24-02-2020
102674,16-01-2020,1318,09-03-2020
102675,14-01-2020,1595,10-02-2020
102676,12-01-2020,1229,13-02-2020
102677,20-01-2020,1466,03-03-2020
102678,03-01-2020,1284,11-02-2020
102679,05-01-2020,1282,27-02-2020
102680,15-01-2020,1554,28-02-2020
102681,19-01-2020,1154,27-01-2020
102682,26-01-2020,1226,29-02-2020
102683,07-01-2020,1286,18-02-2020
102684,04-01-2020,1508,10-02-2020
102685,23-01-2020,1609,22-02-2020
102686,04-01-2020,1144,26-02-2020
102687,10-01-2020,1059,08-03-2020
102688,31-01-2020,1118,30-03-2020
102689,04-01-2020,1596,17-01-2020
102690,31-01-2020,1474,27-02-2020
102691,04-01-2020,1263,04-02-2020
102692,25-01-2020,1500,20-03-2020
102693,05-01-2020,1301,14-02-2020
102694,29-01-2020,1305,25-02-2020
102695,18-01-2020,1270,13-03-2020
102696,08-01-2020,1350,26-02-2020
102697,28-01-2020,1130,06-03-2020
102698,24-01-2020,1452,12-02-2020
102699,28-01-2020,1472,10-02-2020
102700,05-01-2020,1637,26-02-2020
102701,21-01-2020,1364,04-02-2020
102702,16-01-2020,1016,04-03-2020
102703,08-01-2020,1325,11-02-2020
102704,28-01-2020,1225,20-02-2020
102705,16-01-2020,1368,14-02-2020
102706,30-01-2020,1240,16-03-2020
102707,10-01-2020,1401,05-02-2020
